week_date,store,dept,store_type,forecast_weekly_sales,required_labor_hours,available_labor_hours,labor_gap_hours,overtime_risk_hours,estimated_overtime_cost,site_readiness_score,recommendation
2012-08-24,13,3,A,99681.75,104.92815789473684,46.76554377894736,58.16261411578948,55.714156326315795,1546.0678380552636,67.2,"Add associates or approve overtime"
2012-08-17,13,3,A,89284.95,93.98415789473684,41.03679397447369,52.94736392026315,50.79884067552631,1409.6678287458549,64.7,"Add associates or approve overtime"
2012-10-05,28,92,A,155055.52,124.044416,74.9797576542,49.0646583458,45.1390165838,1252.6077102004501,79.7,"Add associates or approve overtime"
2012-08-24,12,3,B,76515.086,80.54219578947368,32.606846725000004,47.93534906447368,46.22818431447368,1213.489838254934,71.5,"Add associates or approve overtime"
2012-08-17,39,3,A,93656.375,98.58565789473684,52.19935947578947,46.38629841894737,43.653347661052635,1211.3803975942105,79,"Add associates or approve overtime"
2012-08-24,18,3,B,70289.914,73.98938315789474,30.274118362499998,43.71526479539474,42.13023242039474,1105.918601035362,73.5,"Add associates or approve overtime"
2012-08-31,19,3,A,75686.75,79.67026315789474,40.91546192815788,38.754801229736856,36.61263044815791,1016.000494936382,76.8,"Add associates or approve overtime"
2012-08-17,21,3,B,61822.39,65.0762,25.3792324375,39.6969675625,38.3682119375,1007.165563359375,67.4,"Add associates or approve overtime"
2012-08-17,4,3,A,86646.305,91.20663684210525,53.08196489657894,38.124671945526316,35.34551147973684,980.8379435626973,77.2,"Add associates or approve overtime"
2012-08-03,39,3,A,65304.133,68.74119263157895,31.90963610763157,36.831556523947384,35.1608949476316,975.7148347967768,74,"Add associates or approve overtime"
2012-08-10,39,3,A,75711.62,79.69644210526316,42.44055531026316,37.255886795,35.03386819236842,972.1898423382238,77.5,"Add associates or approve overtime"
2012-08-24,21,3,B,66922.9,70.44515789473684,32.503599287499995,37.94155860723684,36.23979948223684,951.2947364087171,75.2,"Add associates or approve overtime"
2012-09-07,14,3,A,77235.266,81.30028,44.83442696176316,36.465853038236844,34.04237049976316,944.6757813684276,74.8,"Add associates or approve overtime"
2012-08-10,41,3,A,67623.7,71.18284210526315,35.54928224657894,35.63355985868421,33.77234089289473,937.1824597778289,75.1,"Add associates or approve overtime"
2012-08-24,17,3,B,60061.24,63.22235789473684,26.748561574999997,36.47379631973684,35.073348069736845,920.6753868305922,72.5,"Add associates or approve overtime"
2012-08-17,2,3,A,63233.934,66.56203578947368,32.255261514736844,34.30677427473684,32.61801712736842,905.1499752844736,71.5,"Add associates or approve overtime"
2012-08-03,28,92,A,140679,112.5432,75.96235719239998,36.58084280760002,32.60375604360002,904.7542302099006,83.1,"Add associates or approve overtime"
2012-08-31,12,3,B,81427.33,85.71297894736843,48.914020849999986,36.79895809736844,34.23801459736844,898.7478831809215,80.7,"Add associates or approve overtime"
2012-08-17,11,3,A,65704.64,69.16277894736842,36.18171913447369,32.981059812894735,31.086728968157892,862.6567288663814,76.2,"Add associates or approve overtime"
2012-09-07,24,92,A,163315.73,130.65258400000002,95.67473725964001,34.97784674036001,29.806239320920007,827.1231411555301,79.1,"Add associates or approve overtime"
2012-08-24,23,3,B,68898.15,72.52436842105263,39.68056992499999,32.843798496052635,30.766281746052634,807.6148958338815,75.2,"Add associates or approve overtime"
2012-10-05,28,95,A,125126.914,100.1015312,67.82457005100001,32.27696114899999,28.72593653899999,797.1447389572497,81.9,"Add associates or approve overtime"
2012-08-24,14,90,A,120471.87,96.377496,64.46303063619999,31.914465363800005,28.539437581800005,791.9693928949501,73.1,"Add associates or approve overtime"
2012-08-03,41,3,A,51658.8,54.37768421052632,25.126407773157894,29.251276437368425,27.935757705789477,775.217276335658,75.3,"Add associates or approve overtime"
2012-09-07,28,92,A,122762.36,98.209888,67.1324357165,31.07745228350001,27.44867197450001,761.7006472923753,74.9,"Add associates or approve overtime"
2012-09-07,16,9,B,81562.06,65.249648,34.40691110865,30.842736891349993,28.982903858449994,760.8012262843124,71.9,"Add associates or approve overtime"
2012-10-19,16,9,B,65906.125,52.7249,22.727122374499995,29.997777625500003,28.807875930500003,756.2067431756251,65.5,"Add associates or approve overtime"
2012-08-24,19,3,A,55104.297,58.00452315789474,29.339354234473674,28.665168923421064,27.129077078684222,752.8318889334871,73.9,"Add associates or approve overtime"
2012-10-05,24,92,A,161858.62,129.486896,97.63448810639998,31.852407893600017,26.740654589600016,742.0531648614004,85.4,"Add associates or approve overtime"
2012-08-24,31,3,A,44296.926,46.62834315789473,19.471505404473678,27.156837753421055,26.137387208684213,725.312495040987,73.3,"Add associates or approve overtime"
2012-08-03,10,3,B,93323.01,98.23474736842105,67.21581513749999,31.018932230921067,27.499779605921066,721.869214655428,79.2,"Add associates or approve overtime"
2012-10-19,14,72,A,114034.81,91.227848,62.16172927999999,29.066118720000006,25.811577920000005,716.2712872800001,64,"Add associates or approve overtime"
2012-08-24,14,92,A,179195.48,143.35638400000002,112.1418983398,31.214485660200026,25.343182082200027,703.2733027810507,81.1,"Add associates or approve overtime"
2012-08-24,39,3,A,88719.484,93.38893052631579,64.86830528499999,28.5206252413158,25.1243788913158,697.2015142340134,80.9,"Add associates or approve overtime"
2012-08-10,4,3,A,65343.8,68.78294736842106,41.49849314763158,27.284454220789485,25.111758244473695,696.851291284145,79.6,"Add associates or approve overtime"
2012-08-17,41,3,A,73239.96,77.09469473684211,49.42590602710527,27.668788709736845,25.08104493868421,695.9989970484869,80.4,"Add associates or approve overtime"
2012-08-31,16,9,B,72481.4,57.985119999999995,29.974845046499997,28.010274953499998,26.440911338499998,694.073922635625,71.9,"Add associates or approve overtime"
2012-10-05,28,93,A,81121.34,64.897072,38.359909249199994,26.5371627508,24.5287905388,680.6739374516999,80,"Add associates or approve overtime"
2012-08-24,14,3,A,55874.105,58.814847368421056,32.624988809736834,26.18985855868422,24.4817439613158,679.3683949265135,77.2,"Add associates or approve overtime"
2012-08-31,14,3,A,61739.336,64.9887747368421,38.906860439999996,26.081914296842108,24.044905896842106,667.2461386373684,76.4,"Add associates or approve overtime"
